Heritage Pointe of Warren																		
Main Buildings																		
						Fahl Building - Acct # 32531 00     (Rate 17)												
						Electric Reading						Electricity Charges				Electricity Cost per Kwh		
Billing									Load	Billed								
Month	Bill Date	Due Date	Start Date	End Date		Previous	Current	Usage	Factor	Usage		Charge	Tax	Total		Charge	Tax	Total
Jan-21	02/01/2021	02/15/2021	12/15/2020	01/15/2021		48,534 	48,718 	184 	600 	110,400 		$12,823.86 	$0.00 	$12,823.86 		$0.116 	$0.000 	$0.116 
Feb-21	03/01/2021	03/15/2021	01/15/2021	02/15/2021		48,718 	48,911 	193 	600 	115,800 		$13,311.59 	$0.00 	$13,311.59 		$0.115 	$0.000 	$0.115 
Mar-21	04/01/2021	04/15/2021	02/15/2021	03/15/2021		48,911 	49,076 	165 	600 	99,000 		$11,794.21 	$0.00 	$11,794.21 		$0.119 	$0.000 	$0.119 
Apr-21	05/01/2021	05/15/2021	03/15/2021	04/15/2021		49,076 	49,263 	187 	600 	112,200 		$10,317.88 	$0.00 	$10,317.88 		$0.092 	$0.000 	$0.092 
May-21	06/01/2021	06/15/2021	04/15/2021	05/14/2021		49,263 	49,457 	194 	600 	117,072 		$11,952.53 	$0.00 	$11,952.53 		$0.102 	$0.000 	$0.102 
Jun-21	07/01/2021	07/15/2021	05/14/2021	06/15/2021		49,457 	49,765 	308 	600 	184,800 		$17,507.32 	$0.00 	$17,507.32 		$0.095 	$0.000 	$0.095 
Jul-21	08/01/2021	08/15/2021	06/15/2021	07/15/2021		49,765 	50,093 	328 	600 	196,800 		$18,856.72 	$0.00 	$18,856.72 		$0.096 	$0.000 	$0.096 
Aug-21	09/01/2021	09/15/2021	07/15/2021	08/15/2021		50,093 	50,419 	326 	600 	195,600 		$19,586.35 	$0.00 	$19,586.35 		$0.100 	$0.000 	$0.100 
Sep-21	10/01/2021	10/15/2021	08/15/2021	09/15/2021		50,419 	50,782 	363 	600 	217,800 		$20,997.76 	$0.00 	$20,997.76 		$0.096 	$0.000 	$0.096 
Oct-21	11/01/2021	11/15/2021	09/15/2021	10/18/2021		50,782 	51,080 	298 	600 	178,800 		$16,379.48 	$0.00 	$16,379.48 		$0.092 	$0.000 	$0.092 
Nov-21	12/01/2021	12/15/2021	10/18/2021	11/15/2021		51,080 	51,241 	161 	600 	97,265 		$10,428.01 	$0.00 	$10,428.01 		$0.107 	$0.000 	$0.107 
Dec-21	01/01/2022	01/15/2022	11/15/2021	12/15/2021		51,241 	51,415 	174 	600 	104,400 		$10,775.67 	$0.00 	$10,775.67 		$0.103 	$0.000 	$0.103 
Jan-22	02/01/2022	02/15/2022	12/15/2021	01/15/2022		51,415 	51,595 	180 	600 	108,000 		$11,046.82 	$0.00 	$11,046.82 		$0.102 	$0.000 	$0.102 
Feb-22	03/01/2022	03/15/2022	01/15/2022	02/15/2022		51,595 	51,825 	230 	600 	138,000 		$13,306.42 	$0.00 	$13,306.42 		$0.096 	$0.000 	$0.096 
Mar-22	04/01/2022	04/15/2022	02/15/2022	03/15/2022		51,825 	52,018 	193 	600 	115,800 		$11,634.32 	$0.00 	$11,634.32 		$0.100 	$0.000 	$0.100 
Apr-22	05/01/2022	05/15/2022	03/15/2022	04/15/2022		52,018 	52,018 	0 	600 	0 		$11,803.06 	$0.00 	$11,803.06 		$0.000 	$0.000 	$0.000 
May-22	06/01/2022	06/15/2022	04/15/2022	05/15/2022		52,018 	52,205 	187 	600 	112,200 		$11,626.70 	$0.00 	$11,626.70 		$0.104 	$0.000 	$0.104 
Jun-22	07/01/2022	07/15/2022	05/15/2022	06/14/2022		52,205 	53,074 	869 	600 	521,400 		$42,864.77 	$0.00 	$42,864.77 		$0.082 	$0.000 	$0.082 
Jul-22	08/01/2022	08/15/2022	06/14/2022	07/15/2022		53,074 	53,382 	308 	600 	184,800 		$17,649.52 	$0.00 	$17,649.52 		$0.096 	$0.000 	$0.096 
Aug-22	09/01/2022	09/15/2022	07/15/2022	08/15/2022		53,382 	53,382 	0 	600 	0 		$12,298.17 	$0.00 	$12,298.17 		$0.000 	$0.000 	$0.000 
Sep-22	10/01/2022	10/15/2022	08/15/2022	09/16/2022		53,382 	53,628 	246 	300 	73,800 		$20,681.15 	$0.00 	$20,681.15 		$0.280 	$0.000 	$0.280 
Oct-22	11/01/2022	11/15/2022	09/16/2022	10/14/2022		53,628 	54,085 	457 	300 	137,100 		$19,761.59 	$0.00 	$19,761.59 		$0.144 	$0.000 	$0.144 
Nov-22	12/01/2022	12/15/2022	10/14/2022	11/15/2022		54,085 	54,514 	429 	300 	128,700 		$19,301.81 	$0.00 	$19,301.81 		$0.150 	$0.000 	$0.150 
Dec-22	01/01/2023	01/15/2023	11/15/2022	12/15/2022		54,514 	54,879 	365 	300 	109,500 		$19,079.03 	$0.00 	$19,079.03 		$0.174 	$0.000 	$0.174 
Jan-23	02/01/2023	02/15/2023	12/15/2022	01/15/2023		54,879 	55,270 	391 	300 	117,300 		$19,079.03 	$0.00 	$19,079.03 		$0.163 	$0.000 	$0.163 
Feb-23	03/01/2023	03/15/2023	01/15/2023	02/15/2023		55,270 	55,639 	369 	300 	110,700 		$19,079.03 	$0.00 	$19,079.03 		$0.172 	$0.000 	$0.172 
