epoch,performance,loss,consensus,is_warmup,stage,exact_match
0.0,56.1,12.2427,0.474,True,0,
,,,,,0,56.11
1.0,56.0,4.4833,0.443,True,0,
2.0,58.1,9.5574,0.537,True,0,
3.0,56.4,5.9732,0.536,,0,
4.0,55.7,4.2249,0.426,,0,
5.0,53.9,7.7752,0.576,,0,
6.0,55.7,4.3851,0.536,,0,
,,,,,0,55.69
7.0,57.2,3.2208,0.552,,0,
8.0,60.1,3.131,0.432,,0,
9.0,59.3,2.7403,0.519,,0,
10.0,56.8,3.818,0.42,,0,
11.0,55.7,3.5965,0.395,,0,
12.0,57.8,2.0668,0.44,,0,
,,,,,0,57.78
13.0,57.9,2.4818,0.536,,0,
14.0,57.2,2.122,0.539,,0,
15.0,60.0,1.7102,0.505,,0,
16.0,59.9,2.3764,0.466,,0,
17.0,57.6,2.7392,0.432,,0,
18.0,53.9,-0.4523,0.409,,0,
,,,,,0,53.89
19.0,57.6,-1.4443,0.539,,0,
,,,,,0,57.64
0.0,57.6,6.1698,1.0,True,1,
,,,,,1,57.61
1.0,56.8,3.1896,1.0,True,1,
2.0,57.4,2.8121,1.0,,1,
3.0,59.2,3.2902,1.0,,1,
4.0,60.9,0.991,1.0,,1,
5.0,61.0,2.6442,1.0,,1,
6.0,59.5,2.377,1.0,,1,
,,,,,1,59.53
7.0,60.4,-0.3731,1.0,,1,
8.0,59.9,1.202,1.0,,1,
9.0,60.7,-0.6346,1.0,,1,
10.0,60.5,0.1639,1.0,,1,
11.0,62.1,2.5314,1.0,,1,
12.0,61.5,-1.0772,1.0,,1,
,,,,,1,61.45
13.0,60.5,-0.7291,1.0,,1,
14.0,62.0,-2.015,1.0,,1,
15.0,61.0,1.6317,1.0,,1,
,,,,,1,61.04
0.0,59.8,-7.0302,1.0,True,2,
,,,,,2,59.75
1.0,60.1,-7.0929,1.0,True,2,
2.0,60.1,-6.4022,1.0,,2,
3.0,61.2,-3.4899,1.0,,2,
4.0,62.2,-7.2477,1.0,,2,
5.0,59.6,-3.9381,1.0,,2,
6.0,59.5,2.1691,1.0,,2,
,,,,,2,59.5
7.0,61.1,0.3542,1.0,,2,
8.0,61.4,-3.3982,0.978,,2,
9.0,61.5,-9.2835,1.0,,2,
10.0,61.5,-8.7617,1.0,,2,
11.0,62.4,-8.4281,1.0,,2,
12.0,61.8,-7.673,1.0,,2,
,,,,,2,61.78
13.0,63.1,-7.0852,1.0,,2,
14.0,62.5,-8.8448,1.0,,2,
15.0,62.0,-7.3475,1.0,,2,
,,,,,2,61.98
0.0,54.9,-3.0446,1.0,True,3,
,,,,,3,54.93
1.0,55.4,-1.8261,1.0,,3,
2.0,57.1,-1.4923,1.0,,3,
3.0,58.4,-0.8714,1.0,,3,
4.0,58.5,-5.5413,1.0,,3,
5.0,58.9,-6.1525,1.0,,3,
6.0,58.9,-0.2165,1.0,,3,
,,,,,3,58.9
7.0,58.4,-2.9874,1.0,,3,
8.0,58.1,-9.1905,1.0,,3,
9.0,59.8,-0.9738,1.0,,3,
10.0,59.8,-5.6452,1.0,,3,
11.0,60.4,-9.0841,1.0,,3,
,,,,,3,60.39
0.0,55.2,-2.7182,1.0,True,4,
,,,,,4,55.19
1.0,54.9,-4.1929,1.0,,4,
2.0,56.4,-2.2375,1.0,,4,
3.0,56.6,-1.8616,1.0,,4,
4.0,58.5,-2.8204,1.0,,4,
5.0,58.4,-3.0671,1.0,,4,
6.0,58.8,-3.5842,1.0,,4,
,,,,,4,58.77
7.0,59.4,-4.1302,1.0,,4,
8.0,58.3,-1.9832,1.0,,4,
9.0,58.5,-3.9954,1.0,,4,
10.0,58.8,-3.8758,1.0,,4,
11.0,59.5,-5.79,1.0,,4,
,,,,,4,59.51
0.0,50.9,2.0652,1.0,,5,
,,,,,5,50.87
1.0,52.0,1.4422,1.0,,5,
2.0,52.3,0.4473,1.0,,5,
3.0,53.2,0.7857,1.0,,5,
4.0,52.4,-0.3876,1.0,,5,
5.0,51.7,-1.3922,1.0,,5,
6.0,52.9,0.2893,1.0,,5,
,,,,,5,52.86
7.0,52.8,-0.4426,1.0,,5,
,,,,,5,52.84
0.0,57.2,-0.3582,1.0,,6,
,,,,,6,57.16
1.0,56.5,-2.1444,1.0,,6,
2.0,57.9,-2.066,0.999,,6,
3.0,58.2,-1.5797,0.998,,6,
4.0,59.0,-2.157,1.0,,6,
5.0,59.3,-2.6004,1.0,,6,
6.0,59.3,-1.0235,1.0,,6,
,,,,,6,59.28
7.0,59.6,-2.636,1.0,,6,
,,,,,6,59.65
0.0,53.3,-1.1299,1.0,,7,
,,,,,7,53.34
1.0,53.8,-1.2334,1.0,,7,
2.0,54.4,-2.5038,1.0,,7,
3.0,54.7,-1.8194,1.0,,7,
4.0,54.0,-1.4,1.0,,7,
5.0,54.3,-2.8741,1.0,,7,
,,,,,7,54.34
0.0,48.5,-2.4014,1.0,,8,
,,,,,8,48.49
1.0,48.7,-2.3288,1.0,,8,
2.0,49.1,-0.9644,1.0,,8,
3.0,49.0,-3.4372,1.0,,8,
4.0,49.1,-0.3304,1.0,,8,
5.0,49.3,-1.6049,1.0,,8,
,,,,,8,49.3
0.0,45.7,-0.6983,0.97,,9,
,,,,,9,45.73
1.0,45.7,-0.4732,1.0,,9,
2.0,45.7,4.3692,0.985,,9,
3.0,45.7,6.4709,1.0,,9,
4.0,45.7,3.5481,0.955,,9,
5.0,45.7,-0.5605,1.0,,9,
,,,,,9,45.73
0.0,54.5,-3.1378,1.0,,10,
,,,,,10,54.47
1.0,54.7,-2.7158,1.0,,10,
2.0,54.7,-4.5898,1.0,,10,
3.0,54.8,-4.9383,1.0,,10,
4.0,54.8,-5.6677,1.0,,10,
5.0,55.2,-4.0235,1.0,,10,
,,,,,10,55.2
0.0,55.2,-1.3446,1.0,,11,
,,,,,11,55.22
1.0,55.6,-2.1909,1.0,,11,
2.0,56.2,-1.9881,1.0,,11,
